,product_name,main_category,Category Style,categorize_outfit,occasion,season,Gender,fit_type,fabric,work_details,color_category,shoe_color,shoe_style,price_pkr,discount,Image URL-src,Products-href,web-scraper-start-url
2468,Red Cotton Silk Weaved Men's Sherwani for Wedding Wear,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Summer,Male,Single Size,Cotton,"Thread Work, Woven, Zari Work",Reds,Matching,Traditional Juttis or Mojaris,38700,14.0,https://assets2.andaazfashion.com/media/catalog/product/r/e/red-cotton-silk-weaved-mens-sherwani-for-wedding-wear-mstv04818-1.jpg,https://www.andaazfashion.co.uk/red-cotton-silk-weaved-mens-sherwani-for-wedding-wear-mstv04818.html,https://www.andaazfashion.co.uk/men/sherwani?p=47
2469,Mens Ethnic Green Kurta With Churidar for Wedding & Party,Men's Ethnic Wear,Traditional,Churidar Suit,Wedding/Formal,Summer,Male,Mixed Range,Silk,Thread Work,White & Off‑Whites,Matching,Traditional,29700,24.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/e/mens-ethnic-green-kurta-with-churidar-for-eid-mkpv0736.jpg,https://www.andaazfashion.co.uk/mens-ethnic-green-kurta-with-churidar-for-eid-mkpv0736.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=10
2470,Olive Brown Cotton Silk Straight Cut Men Churidar Kurta Pajama,Men's Ethnic Wear,Contemporary,Churidar Suit,Wedding/Formal,Summer,Male,Mixed Range,Cotton,"Resham Work, Thread Work, Printed",Greens,Brown,Traditional,29700,24.0,https://assets2.andaazfashion.com/media/catalog/product/o/l/olive-brown-cotton-silk-straight-cut-men-churidar-kurta-pajama-mkpa02923-1.jpg,https://www.andaazfashion.co.uk/olive-brown-cotton-silk-straight-cut-men-churidar-kurta-pajama-mkpa02923.html,https://www.andaazfashion.co.uk/men/weddingwear?p=74
2471,Navy Blue Dupion Silk Beads Embroidered Straight Cut Men's Kurta,Men's Ethnic Wear,Contemporary,Kurta,Wedding/Formal,Winter,Male,Single Size,Silk,"Beads Work, Dori Work",Blues,Black,Traditional,28200,72.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/n/a/navy-blue-dupion-silk-beads-embroidered-straight-cut-mens-kurta-mkv00385-1.jpg,https://www.andaazfashion.co.uk/navy-blue-dupion-silk-beads-embroidered-straight-cut-mens-kurta-mkv00385.html,https://www.andaazfashion.co.uk/men/weddingwear?p=25
2472,Light Beige Art Silk Plain Kurta With Churidar,Indian Cloth,Traditional,Churidar Suit,Wedding/Formal,Summer,Male,Mixed Range,Silk,Plain,White & Off‑Whites,Brown,Traditional,41700,43.0,https://assets2.andaazfashion.com/media/catalog/product/l/i/light-beige-art-silk-plain-kurta-with-churidar-mkpa0492-1.jpg,https://www.andaazfashion.co.uk/light-beige-art-silk-plain-kurta-with-churidar-mkpa0492.html,https://www.andaazfashion.co.uk/men/weddingwear?p=68
2473,Black Plain Suede Men's Coat Pant,Men's Ethnic Wear,Contemporary,Jodhpuri Suit,Casual,Summer,Male,Mixed Range,Silk,Plain,Black & Greys,Black,Traditional,89700,23.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/c/mcp-1_1.jpg,https://www.andaazfashion.co.uk/black-plain-suede-mens-coat-pant-mcp46.html,https://www.andaazfashion.co.uk/men/coat-pant?p=1
2474,Plain Cotton Teal Blue Kurta With White Pajama,Pakistani Cloth,Traditional,Kurta Set,Wedding/Formal,Summer,Male,Mixed Range,Cotton,Plain,Blues,White,Traditional Sandals,29700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/l/plain-cotton-sky-blue-men-kurta-pajama-mkpa0315-1.jpg,https://www.andaazfashion.co.uk/plain-cotton-sky-blue-men-kurta-pajama-mkpa0315.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=62
2475,Mint Blue Weaved Jacquard Asymmetric Men's Sherwani,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Winter,Male,Range,Synthetic,"Weaved Thread Work, Zari Work",Greens,Black,Traditional,38700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/i/mint-blue-weaved-jacquard-asymmetric-mens-sherwani-mstv03497-1.jpg,https://www.andaazfashion.co.uk/mint-blue-weaved-jacquard-asymmetric-mens-sherwani-mstv03497.html,https://www.andaazfashion.co.uk/men/sherwani?p=35
2476,Silver Dupion Silk Embroidered Men Kurta,Men's Ethnic Wear,Traditional,Kurta,Wedding/Formal,Winter,Male,Range,Silk,Silver resham thread embroidery,Golds & Metallics,Silver,Traditional,22200,26.0,https://assets2.andaazfashion.com/media/catalog/product/s/i/silver-dupion-silk-embroidered-men-kurta-mkv00109-1.jpg,https://www.andaazfashion.co.uk/silver-dupion-silk-embroidered-men-kurta-mkv00109.html,https://www.andaazfashion.co.uk/men/weddingwear?p=38
2477,Festive Woven Jacquard Red Men's Sherwani,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Winter,Male,Mixed Range,Synthetic,Woven,Reds,Black,Traditional,31200,43.0,https://assets2.andaazfashion.com/media/catalog/product/f/e/festive-woven-jacquard-red-mens-sherwani-mstv0759-1.jpg,https://www.andaazfashion.co.uk/festive-woven-jacquard-red-mens-sherwani-mstv0759.html,https://www.andaazfashion.co.uk/men/sherwani?p=39
2478,Jacquard Weaved Thread Work Navy Blue Men Kurta Churidar,Men's Ethnic Wear,Contemporary,Churidar Suit,Wedding/Formal,Winter,Male,Single Size,Synthetic,"Lace Work, Weaved Thread Work, Zari Work",Blues,Black,Traditional,26700,20.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/j/a/jacquard-weaved-thread-navy-blue-straight-cut-mens-kurta-churidar-mkpa07523-1.jpg,https://www.andaazfashion.co.uk/jacquard-weaved-thread-navy-blue-straight-cut-mens-kurta-churidar-mkpa07523.html,https://www.andaazfashion.co.uk/men/weddingwear?p=44
2480,Oat Beige Dupion Silk Kurta Dhoti with Zari Thread Work,Indian Cloth,Traditional,Kurta with Dhoti,Wedding/Formal,Summer,Male,Single Size,Silk,"Resham Work, Thread Work, Zari Work",White & Off‑Whites,Brown,Traditional,29700,13.0,https://assets2.andaazfashion.com/media/catalog/product/o/a/oat-beige-dupion-silk-embroidered-mens-kurta-with-dhoti-mkpa08665-1.jpg,https://www.andaazfashion.co.uk/oat-beige-dupion-silk-embroidered-mens-kurta-with-dhoti-mkpa08665.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=119
2481,Light Grey Georgette Thread And Gotta Patti Embroidered Men Sherwani,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Summer,Male,Single Size,Synthetic,"Gota Patti, Thread Work",Black & Greys,Black,Traditional,107700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-grey-georgette-thread-and-gotta-patti-embroidered-men-sherwani-mstv0863-1.jpg,https://www.andaazfashion.co.uk/light-grey-georgette-thread-and-gotta-patti-embroidered-men-sherwani-mstv0863.html,https://www.andaazfashion.co.uk/men/weddingwear?p=65
2482,Greenish Grey Jacquard Embroidered Men Sherwani,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Winter,Male,Single Size,Synthetic,"Woven, Zari",Black & Greys,Black,Traditional,38700,43.0,https://assets2.andaazfashion.com/media/catalog/product/g/r/greenish-grey-jacquard-embroidered-men-sherwani-mstv01161-1.jpg,https://www.andaazfashion.co.uk/greenish-grey-jacquard-embroidered-men-sherwani-mstv01161.html,https://www.andaazfashion.co.uk/men/sherwani?p=25
2483,White Embroidered Jacquard Jacket Style Men's Sherwani,Men's Ethnic Wear,Fancy,Sherwani,Wedding/Formal,Summer,Male,Single Size,Synthetic,"Resham Work, Thread Work, Faux Mirror",White & Off‑Whites,White,Traditional,62700,43.0,https://assets2.andaazfashion.com/media/catalog/product/w/h/white-embroidered-jacquard-jacket-style-mens-sherwani-mstv02073-1.jpg,https://www.andaazfashion.co.uk/white-embroidered-jacquard-jacket-style-mens-sherwani-mstv02073.html,https://www.andaazfashion.co.uk/men/sherwani?p=16
2484,Plain Embroidered Dupion Silk Salmon Peach Men Kurta Pajama,Men's Ethnic Wear,Contemporary,Kurta Set,Wedding/Formal,Summer,Male,Single Size,Silk,"Plain, Embroidered",Oranges,Brown,Traditional,19200,43.0,https://assets2.andaazfashion.com/media/catalog/product/p/l/plain-embroidered-dupion-silk-salmon-peach-men-kurta-pajama-mkpa04185-1.jpg,https://www.andaazfashion.co.uk/plain-embroidered-dupion-silk-salmon-peach-men-kurta-pajama-mkpa04185.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=21
2485,Dark Brown Jacquard Weaved Thread Straight Cut Men's Kurta Churidar,Men's Ethnic Wear,Contemporary,Churidar Suit,Wedding/Formal,Winter,Male,Single Size,Synthetic,"Resham Work, Sequins Work, Thread Work, Weaved Thread Work",Browns,Brown,Traditional,17700,20.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-brown-jacquard-weaved-thread-straight-cut-mens-kurta-churidar-mkpa07729-1.jpg,https://www.andaazfashion.co.uk/dark-brown-jacquard-weaved-thread-straight-cut-mens-kurta-churidar-mkpa07729.html,https://www.andaazfashion.co.uk/men/weddingwear?p=72
2486,Pale Pink Printed Dupion Silk Side Slit Men's Kurta With Dhoti,Men's Ethnic Wear,Contemporary,Kurta with Dhoti,Wedding/Formal,Summer,Male,Single Size,Silk,Printed,Pinks,Brown,Traditional,28200,28.0,https://assets2.andaazfashion.com/media/catalog/product/p/a/pale-pink-printed-dupion-silk-side-slit-mens-kurta-with-dhoti-mkpa07175-1.jpg,https://www.andaazfashion.co.uk/pale-pink-printed-dupion-silk-side-slit-mens-kurta-with-dhoti-mkpa07175.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=18
2487,Teal Blue Silk Handloom Straight Cut Men's Kurta With Salwar,Men's Ethnic Wear,Contemporary,Salwar Suit,Wedding/Formal,Spring,Male,Single Size,Silk,"Thread Work, Woven",Blues,Black,Traditional,14700,43.0,https://assets2.andaazfashion.com/media/catalog/product/t/e/teal-blue-silk-handloom-straight-cut-mens-kurta-with-salwar-mkpa08479-1.jpg,https://www.andaazfashion.co.uk/teal-blue-silk-handloom-straight-cut-mens-kurta-with-salwar-mkpa08479.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=122
2488,Tomato Red Woven Zari Silk Straight Cut Men's Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Winter,Male,Range,Silk,"Lace Work, Weaved Thread Work, Zari Work",Reds,Black,Traditional,17700,35.0,https://assets2.andaazfashion.com/media/catalog/product/t/o/tomato-red-woven-zari-silk-straight-cut-mens-kurta-pajama-mkpa07224-1.jpg,https://www.andaazfashion.co.uk/tomato-red-woven-zari-silk-straight-cut-mens-kurta-pajama-mkpa07224.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=61
2489,Silk Blend White Men's Sherwani with Embroidered for Wedding,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Summer,Male,Single Size,Silk,"Beads Work, Dori Work, Resham Work, Sequins Work, Stone Work, Thread Work",White & Off‑Whites,Black,Traditional,107700,34.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/s/i/silk-blend-white-mens-sherwani-with-embroidered-for-wedding-mstv04787-1.jpg,https://www.andaazfashion.co.uk/silk-blend-white-mens-sherwani-with-embroidered-for-wedding-mstv04787.html,https://www.andaazfashion.co.uk/men/sherwani?p=33
2490,Black Silk Embroidered Jacket Style Men Kurta Pant,Men's Ethnic Wear,Fancy,Jacket Style Outfit,Wedding/Formal,Winter,Male,Mixed Range,Silk,Thread And Sequins Embroidery,Black & Greys,Black,Traditional,214200,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/b/l/black-silk-embroidered-jacket-style-men-kurta-pant-mkpa0223-1.jpg,https://www.andaazfashion.co.uk/black-silk-embroidered-jacket-style-men-kurta-pant-mkpa0223.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=90
2491,Dark Grey Cotton Embroidered Jacket Style Men Sherwani,Men's Ethnic Wear,Fancy,Sherwani,Wedding/Formal,Summer,Male,Single Size,Cotton,"Resham Work, Sequins, Thread Work",Black & Greys,Black,Traditional,68700,26.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-grey-cotton-embroidered-jacket-style-men-sherwani-mstv02084-1.jpg,https://www.andaazfashion.co.uk/dark-grey-cotton-embroidered-jacket-style-men-sherwani-mstv02084.html,https://www.andaazfashion.co.uk/men/weddingwear?p=23
2495,Light Purple Embroidered Silk Men's Sherwani for Wedding,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Summer,Male,Single Size,Silk,"Beads Work, Dabka Work, Resham Work, Sequins Work, Stone Work, Thread Work",Purples & Mauves,Black,Traditional,121200,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-purple-embroidered-silk-mens-sherwani-for-wedding-mstv03198-1.jpg,https://www.andaazfashion.co.uk/light-purple-embroidered-silk-mens-sherwani-for-wedding-mstv03198.html,https://www.andaazfashion.co.uk/men/weddingwear?p=100
2496,Navy Blue Cotton Kurta With Resham Work,Pakistani Cloth,Traditional,Kurta,Party/Festive,Summer,Male,Single Size,Cotton,Resham Work,Blues,Black,Traditional,23700,43.0,https://assets2.andaazfashion.com/media/catalog/product/n/a/navy-blue-cotton-kurta-with-resham-work-mkpv0179-2.jpg,https://www.andaazfashion.co.uk/navy-blue-cotton-kurta-with-resham-work-mkpv0179.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=19
2497,Embroidered Light Peach Silk Achkan Style Men's Sherwani,Men's Ethnic Wear,Fancy,Sherwani,Wedding/Formal,Summer,Male,Range,Silk,"Resham Work, Sequins Work, Thread Work",Multi / Mixed & Others,Black,Traditional,123000,43.0,https://assets2.andaazfashion.com/media/catalog/product/e/m/embroidered-light-peach-silk-achkan-style-mens-sherwani-mstv03937-1.jpg,https://www.andaazfashion.co.uk/embroidered-light-peach-silk-achkan-style-mens-sherwani-mstv03937.html,https://www.andaazfashion.co.uk/men/sherwani?p=15
2499,Light Blue Dupion Silk Straight Cut Men Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Summer,Male,Single Size,Silk,Plain,Multi / Mixed & Others,Black,Traditional,29700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/l/i/light-blue-dupion-silk-straight-cut-men-kurta-pajama-mkpa02962-1.jpg,https://www.andaazfashion.co.uk/light-blue-dupion-silk-straight-cut-men-kurta-pajama-mkpa02962.html,https://www.andaazfashion.co.uk/men/weddingwear?p=48
2500,Plain Art Silk Dusty Orange Men's Sherwani,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,Plain,Oranges,Brown,Traditional,157200,43.0,https://assets2.andaazfashion.com/media/catalog/product/p/l/plain-art-silk-dusty-orange-mens-sherwani-mstv0909-1.jpg,https://www.andaazfashion.co.uk/plain-art-silk-dusty-orange-mens-sherwani-mstv0909.html,https://www.andaazfashion.co.uk/men/weddingwear?p=49
2501,Teal Blue Silk Jacket Style Men Sherwani,Men's Ethnic Wear,Fancy,Sherwani,Wedding/Formal,Winter,Male,Multi Size,Silk,Resham thread work,Blues,Black,Traditional,62700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/t/e/teal-blue-silk-jacket-style-men-sherwani-mstv02127-1.jpg,https://www.andaazfashion.co.uk/teal-blue-silk-jacket-style-men-sherwani-mstv02127.html,https://www.andaazfashion.co.uk/men/sherwani?p=31
2502,Men Maroon And Beige Self Design Kurta With Dhoti,Men's Ethnic Wear,Traditional,Kurta with Dhoti,Wedding/Formal,Winter,Male,Mixed Range,Silk,Self Design,Reds,Black,Traditional,22200,27.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/e/men-maroon-and-beige-self-design-kurta-with-dhoti-mkpv0473.jpg,https://www.andaazfashion.co.uk/men-maroon-and-beige-self-design-kurta-with-dhoti-mkpv0473.html,https://www.andaazfashion.co.uk/men/weddingwear?p=46
2503,Woven Zari Light Beige Men's Sherwani,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Summer,Male,Single Size,Synthetic,"Woven, Zari",White & Off‑Whites,Brown,Traditional,40200,43.0,https://assets2.andaazfashion.com/media/catalog/product/w/o/woven-zari-light-beige-mens-sherwani-mstv01902-1.jpg,https://www.andaazfashion.co.uk/woven-zari-light-beige-mens-sherwani-mstv01902.html,https://www.andaazfashion.co.uk/men/sherwani?p=50
2504,Pistachio Green Poly Cotton Straight Cut Men Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Summer,Male,Single Size,Cotton,"Beads Work, Mirror Work, Stone Work, Printed",Greens,Brown,Traditional,29700,24.0,https://assets2.andaazfashion.com/media/catalog/product/p/i/pistachio-green-poly-cotton-straight-cut-men-kurta-pajama-mkpa02895-1.jpg,https://www.andaazfashion.co.uk/pistachio-green-poly-cotton-straight-cut-men-kurta-pajama-mkpa02895.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=47
2505,Dazzling Plain Tweed Men's Dark Beige Coat Pant,Men's Ethnic Wear,Contemporary,Jodhpuri Suit,Party/Festive,Winter,Male,Single Size,Silk,Plain,White & Off‑Whites,Brown,Traditional,59700,23.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/c/mcp15.jpg,https://www.andaazfashion.co.uk/dazzling-plain-tweed-mens-dark-beige-coat-pant-mcp15.html,https://www.andaazfashion.co.uk/men/coat-pant?p=1
2506,Deep Red Silk Jacket Style Men Sherwani,Men's Ethnic Wear,Fancy,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,"Resham Work, Sequins, Thread Work",Reds,Black,Traditional,46200,43.0,https://assets2.andaazfashion.com/media/catalog/product/d/e/deep-red-silk-jacket-style-men-sherwani-mstv01845-1.jpg,https://www.andaazfashion.co.uk/deep-red-silk-jacket-style-men-sherwani-mstv01845.html,https://www.andaazfashion.co.uk/men/sherwani?p=25
2508,Mint Blue Cotton Silk Straight Cut Woven Men Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Summer,Male,Single Size,Cotton,"Dori Work, Woven, Faux Mirror",Greens,Brown,Traditional Sandals,29700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/1/3/13_4.jpg,https://www.andaazfashion.co.uk/mint-blue-cotton-silk-straight-cut-woven-men-kurta-pajama-mkpa04079.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=8
2509,Oat Beige Dupion Silk Father & Son Jacket Style Kurta Churidar,Indian Cloth,Contemporary,Jacket Style Outfit,Wedding/Formal,Summer,Male,Multi Size,Silk,Plain,White & Off‑Whites,White,Traditional,37200,40.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/o/a/oat-beige-dupion-silk-father-son-jacket-style-kurta-churidar-mkpa02175-1.jpg,https://www.andaazfashion.co.uk/oat-beige-dupion-silk-father-son-jacket-style-kurta-churidar-mkpa02175.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=10
2510,Dupion Silk Resham Embroidered Oat Beige Men's Kurta Churidar,Men's Ethnic Wear,Contemporary,Churidar Suit,Wedding/Formal,Summer,Male,Single Size,Silk,"Lace Work, Resham Work, Thread Work",White & Off‑Whites,Brown,Traditional,31200,17.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/u/dupion-silk-resham-embroidered-oat-beige-mens-kurta-churidar-mkpa06092-1.jpg,https://www.andaazfashion.co.uk/dupion-silk-resham-embroidered-oat-beige-mens-kurta-churidar-mkpa06092.html,https://www.andaazfashion.co.uk/men/weddingwear?p=97
2511,Navy Blue Traditional Wedding Wear Men Kurta Pajama in Silk,Men's Ethnic Wear,Fancy,Kurta Set,Wedding/Formal,Winter,Male,Mixed Range,Silk,Plain,Blues,Black,Traditional,34200,28.0,https://assets2.andaazfashion.com/media/catalog/product/n/a/navy-blue-silk-mens-jacket-styal-kurta-with-pajama-mkpa03146-1.jpg,https://www.andaazfashion.co.uk/navy-blue-silk-mens-jacket-styal-kurta-with-pajama-mkpa03146.html,https://www.andaazfashion.co.uk/men/weddingwear?p=74
2512,Cream Silk Jacket Style Men's Plain Kurta With Trouser Pants,Men's Ethnic Wear,Fancy,Jacket Style Outfit,Wedding/Formal,Winter,Male,Range,Silk,Plain Work,White & Off‑Whites,Cream,Traditional,56700,35.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/c/r/cream-silk-jacket-style-mens-plain-kurta-with-trouser-pants-mkpa07966-1.jpg,https://www.andaazfashion.co.uk/cream-silk-jacket-style-mens-plain-kurta-with-trouser-pants-mkpa07966.html,https://www.andaazfashion.co.uk/men/weddingwear?p=73
2513,Jacquard Salmon Peach Weaved Thread Men's Sherwani,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Summer,Male,Single Size,Synthetic,"Lace Work, Weaved Thread Work",Oranges,Brown,Traditional Mojari,32700,23.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/j/a/jacquard-salmon-peach-weaved-thread-mens-sherwani-mstv03389-1.jpg,https://www.andaazfashion.co.uk/jacquard-salmon-peach-weaved-thread-mens-sherwani-mstv03389.html,https://www.andaazfashion.co.uk/men/weddingwear?p=94
2514,Embroidered Banarasi Silk Navy Blue Men's Sherwani with Churidar,Men's Ethnic Wear,Heavy Work,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,"Beads Work, Stone Work, Zardosi, Zari",Blues,Black,Traditional,67200,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/e/m/embroidered-banarasi-silk-navy-blue-mens-sherwani-with-churidar-mstv01262-1.jpg,https://www.andaazfashion.co.uk/embroidered-banarasi-silk-navy-blue-mens-sherwani-with-churidar-mstv01262.html,https://www.andaazfashion.co.uk/men/sherwani?p=50
2515,Pistachio Green Georgette Dori Embroidered Men Sherwani With Churidar,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Winter,Male,Single Size,Synthetic,Dori Work,Greens,Brown,Traditional,119700,28.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/p/i/pistachio-green-georgette-dori-embroidered-men-sherwani-with-churidar-mstv0856-1.jpg,https://www.andaazfashion.co.uk/pistachio-green-georgette-dori-embroidered-men-sherwani-with-churidar-mstv0856.html,https://www.andaazfashion.co.uk/men/sherwani?p=42
2516,Men Indian Kurta Dhoti for Wedding In Black Color,Men's Ethnic Wear,Traditional,Kurta with Dhoti,Wedding/Formal,Winter,Male,Mixed Range,Silk,Embroidery,Black & Greys,Black,Traditional,20700,43.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/m/e/men-indian-kurta-dhoti-for-eid-in-black-color-mkpv0253.jpg,https://www.andaazfashion.co.uk/men-indian-kurta-dhoti-for-eid-in-black-color-mkpv0253.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=17
2517,Dark Teal Green Cotton Weaved Straight Cut Men's Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Casual,Summer,Male,Range,Cotton,Weaved Thread Work,Greens,Brown,Traditional Sandals,13200,24.0,https://assets2.andaazfashion.com/media/catalog/product/cache/1/image/800x1200/a12781a7f2ccb3d663f7fd01e1bd2e4e/d/a/dark-teal-green-cotton-weaved-straight-cut-mens-kurta-pajama-mkpa06573-1.jpg,https://www.andaazfashion.co.uk/dark-teal-green-cotton-weaved-straight-cut-mens-kurta-pajama-mkpa06573.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=64
2518,Plain Black Poly Silk Men Kurta With Churidar,Men's Ethnic Wear,Traditional,Churidar Suit,Party/Festive,Winter,Male,Mixed Range,Silk,Plain,Black & Greys,Black,Traditional,20700,20.0,https://assets2.andaazfashion.com/media/catalog/product/p/l/plain-black-poly-silk-men-kurta-with-churidar-mkpa03169-1.jpg,https://www.andaazfashion.co.uk/plain-black-poly-silk-men-kurta-with-churidar-mkpa03169.html,https://www.andaazfashion.co.uk/men/kurta-pajama?p=81
2519,Plain Salmon Pink Straight Cut Men's Sherwani In Silk,Men's Ethnic Wear,Traditional,Sherwani,Wedding/Formal,Summer,Male,Single Size,Silk,Plain Work,Pinks,Black,Traditional,29700,43.0,https://assets2.andaazfashion.com/media/catalog/product/p/l/plain-salmon-pink-straight-cut-mens-sherwani-in-silk-mstv03229-1.jpg,https://www.andaazfashion.co.uk/plain-salmon-pink-straight-cut-mens-sherwani-in-silk-mstv03229.html,https://www.andaazfashion.co.uk/men/sherwani?p=52
2521,Burgundy Maroon Art Silk Jacket Style Men Sherwani,Men's Ethnic Wear,Fancy,Sherwani,Wedding/Formal,Winter,Male,Single Size,Silk,"Resham Work, Thread Work",Reds,Black,Traditional,59700,43.0,https://assets2.andaazfashion.com/media/catalog/product/b/u/burgundy-maroon-art-silk-jacket-style-men-sherwani-mstv02655-1.jpg,https://www.andaazfashion.co.uk/burgundy-maroon-art-silk-jacket-style-men-sherwani-mstv02655.html,https://www.andaazfashion.co.uk/men/sherwani?p=22
2522,Pistachio Green Traditional Jacquard Men Sherwani for Mehndi,Men's Ethnic Wear,Contemporary,Sherwani,Wedding/Formal,Winter,Male,Single Size,Synthetic,"Woven, Zari",Greens,Brown,Traditional,38700,26.0,https://assets2.andaazfashion.com/media/catalog/product/p/i/pistachio-green-jacquard-woven-zari-mens-sherwani-mstv01880-1.jpg,https://www.andaazfashion.co.uk/pistachio-green-jacquard-woven-zari-mens-sherwani-mstv01880.html,https://www.andaazfashion.co.uk/men/weddingwear?p=74
2523,Woven Jacquard Deep Red Men Kurta Pajama,Men's Ethnic Wear,Traditional,Kurta Set,Wedding/Formal,Summer,Male,Mixed Range,Synthetic,Woven,Reds,Black,Traditional,29700,24.0,https://assets2.andaazfashion.com/media/catalog/product/w/o/woven-jacquard-deep-red-men-kurta-pajama-mkpa0863-1.jpg,https://www.andaazfashion.co.uk/woven-jacquard-deep-red-men-kurta-pajama-mkpa0863.html,https://www.andaazfashion.co.uk/men/sherwani?p=61
